Timestamp,VM_KW(kW)
18-Aug-23 3:10 AM ICT,2.6
18-Aug-23 3:15 AM ICT,2.5
18-Aug-23 3:20 AM ICT,2.5
18-Aug-23 3:25 AM ICT,2.4
18-Aug-23 3:30 AM ICT,2.2
18-Aug-23 3:35 AM ICT,2.3
18-Aug-23 3:40 AM ICT,2.3
18-Aug-23 3:45 AM ICT,2.3
18-Aug-23 3:50 AM ICT,2.3
18-Aug-23 3:55 AM ICT,2.3
18-Aug-23 4:00 AM ICT,2.4
18-Aug-23 4:05 AM ICT,2.4
18-Aug-23 4:10 AM ICT,2.3
18-Aug-23 4:15 AM ICT,2.3
18-Aug-23 4:20 AM ICT,2.3
18-Aug-23 4:25 AM ICT,2.3
18-Aug-23 4:30 AM ICT,2.3
18-Aug-23 4:35 AM ICT,2.3
18-Aug-23 4:40 AM ICT,2.3
18-Aug-23 4:45 AM ICT,2.3
18-Aug-23 4:50 AM ICT,2.3
18-Aug-23 4:55 AM ICT,2.3
18-Aug-23 5:00 AM ICT,2.3
18-Aug-23 5:05 AM ICT,2.3
18-Aug-23 5:10 AM ICT,2.3
18-Aug-23 5:15 AM ICT,2.4
18-Aug-23 5:20 AM ICT,2.3
18-Aug-23 5:25 AM ICT,1.2
18-Aug-23 5:30 AM ICT,1.2
18-Aug-23 5:35 AM ICT,1.2
18-Aug-23 5:40 AM ICT,1.2
18-Aug-23 5:45 AM ICT,1.2
18-Aug-23 5:50 AM ICT,1.2
18-Aug-23 5:55 AM ICT,1.0
18-Aug-23 6:00 AM ICT,0.9
18-Aug-23 6:05 AM ICT,0.9
18-Aug-23 6:10 AM ICT,0.9
18-Aug-23 6:15 AM ICT,0.9
18-Aug-23 6:20 AM ICT,1.1
18-Aug-23 6:25 AM ICT,1.1
18-Aug-23 6:30 AM ICT,1.1
18-Aug-23 6:35 AM ICT,1.0
18-Aug-23 6:40 AM ICT,1.0
18-Aug-23 6:45 AM ICT,1.0
18-Aug-23 6:50 AM ICT,1.0
18-Aug-23 6:55 AM ICT,1.0
18-Aug-23 7:00 AM ICT,1.0
18-Aug-23 7:05 AM ICT,1.0
18-Aug-23 7:10 AM ICT,1.0
18-Aug-23 7:15 AM ICT,1.1
18-Aug-23 7:20 AM ICT,1.1
18-Aug-23 7:25 AM ICT,1.0
18-Aug-23 7:30 AM ICT,1.1
18-Aug-23 7:35 AM ICT,2.8
18-Aug-23 7:40 AM ICT,2.9
18-Aug-23 7:45 AM ICT,3.1
18-Aug-23 7:50 AM ICT,3.7
18-Aug-23 7:55 AM ICT,3.0
18-Aug-23 8:00 AM ICT,3.4
18-Aug-23 8:05 AM ICT,3.7
18-Aug-23 8:10 AM ICT,4.4
18-Aug-23 8:15 AM ICT,10.3
18-Aug-23 8:20 AM ICT,14.2
18-Aug-23 8:25 AM ICT,15.4
18-Aug-23 8:30 AM ICT,14.8
18-Aug-23 8:35 AM ICT,17.5
18-Aug-23 8:40 AM ICT,21.6
18-Aug-23 8:45 AM ICT,23.3
18-Aug-23 8:50 AM ICT,26.3
18-Aug-23 8:55 AM ICT,26.1
18-Aug-23 9:00 AM ICT,27.7
18-Aug-23 9:05 AM ICT,30.6
18-Aug-23 9:10 AM ICT,29.5
18-Aug-23 9:15 AM ICT,25.8
18-Aug-23 9:20 AM ICT,23.9
18-Aug-23 9:25 AM ICT,23.7
18-Aug-23 9:30 AM ICT,24.8
18-Aug-23 9:35 AM ICT,23.7
18-Aug-23 9:40 AM ICT,23.3
18-Aug-23 9:45 AM ICT,21.8
18-Aug-23 9:50 AM ICT,23.2
18-Aug-23 9:55 AM ICT,23.6
18-Aug-23 10:00 AM ICT,25.3
18-Aug-23 10:05 AM ICT,24.9
18-Aug-23 10:10 AM ICT,23.8
18-Aug-23 10:15 AM ICT,23.5
18-Aug-23 10:20 AM ICT,24.4
18-Aug-23 10:25 AM ICT,24.2
18-Aug-23 10:30 AM ICT,25.2
18-Aug-23 10:35 AM ICT,22.8
18-Aug-23 10:40 AM ICT,24.9
18-Aug-23 10:45 AM ICT,24.1
18-Aug-23 10:50 AM ICT,24.9
18-Aug-23 10:55 AM ICT,25.6
18-Aug-23 11:00 AM ICT,23.9
18-Aug-23 11:05 AM ICT,25.6
18-Aug-23 11:10 AM ICT,25.2
